# Region type : patch inlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	sum(phi)
         3.33	-7.570157e-04
        3.335	-7.570157e-04
         3.34	-7.570157e-04
        3.345	-7.570157e-04
         3.35	-7.570157e-04
        3.355	-7.570157e-04
         3.36	-7.570157e-04
        3.365	-7.570157e-04
         3.37	-7.570157e-04
        3.375	-7.570157e-04
         3.38	-7.570157e-04
        3.385	-7.570157e-04
         3.39	-7.570157e-04
        3.395	-7.570156e-04
          3.4	-7.570156e-04
        3.405	-7.570156e-04
         3.41	-7.570156e-04
        3.415	-7.570156e-04
         3.42	-7.570156e-04
        3.425	-7.570156e-04
         3.43	-7.570156e-04
        3.435	-7.570156e-04
         3.44	-7.570156e-04
        3.445	-7.570156e-04
         3.45	-7.570156e-04
        3.455	-7.570156e-04
         3.46	-7.570156e-04
        3.465	-7.570156e-04
         3.47	-7.570156e-04
        3.475	-7.570156e-04
         3.48	-7.570156e-04
        3.485	-7.570156e-04
         3.49	-7.570156e-04
        3.495	-7.570156e-04
          3.5	-7.570156e-04
        3.505	-7.570156e-04
         3.51	-7.570156e-04
        3.515	-7.570156e-04
         3.52	-7.570156e-04
        3.525	-7.570156e-04
         3.53	-7.570156e-04
        3.535	-7.570156e-04
         3.54	-7.570156e-04
        3.545	-7.570156e-04
         3.55	-7.570156e-04
        3.555	-7.570156e-04
         3.56	-7.570156e-04
        3.565	-7.570156e-04
         3.57	-7.570156e-04
        3.575	-7.570156e-04
         3.58	-7.570156e-04
        3.585	-7.570156e-04
         3.59	-7.570156e-04
        3.595	-7.570156e-04
          3.6	-7.570156e-04
        3.605	-7.570156e-04
         3.61	-7.570156e-04
        3.615	-7.570156e-04
         3.62	-7.570156e-04
        3.625	-7.570156e-04
         3.63	-7.570156e-04
        3.635	-7.570156e-04
         3.64	-7.570156e-04
        3.645	-7.570156e-04
         3.65	-7.570156e-04
        3.655	-7.570156e-04
         3.66	-7.570156e-04
        3.665	-7.570156e-04
         3.67	-7.570156e-04
        3.675	-7.570156e-04
         3.68	-7.570156e-04
        3.685	-7.570156e-04
         3.69	-7.570156e-04
        3.695	-7.570156e-04
          3.7	-7.570156e-04
        3.705	-7.570156e-04
         3.71	-7.570156e-04
        3.715	-7.570156e-04
         3.72	-7.570156e-04
        3.725	-7.570156e-04
         3.73	-7.570156e-04
        3.735	-7.570156e-04
         3.74	-7.570156e-04
        3.745	-7.570156e-04
         3.75	-7.570156e-04
        3.755	-7.570156e-04
         3.76	-7.570156e-04
        3.765	-7.570156e-04
         3.77	-7.570156e-04
        3.775	-7.570156e-04
         3.78	-7.570156e-04
        3.785	-7.570156e-04
         3.79	-7.570156e-04
        3.795	-7.570156e-04
          3.8	-7.570156e-04
        3.805	-7.570156e-04
         3.81	-7.570156e-04
        3.815	-7.570156e-04
         3.82	-7.570156e-04
        3.825	-7.570156e-04
         3.83	-7.570156e-04
        3.835	-7.570156e-04
         3.84	-7.570156e-04
        3.845	-7.570156e-04
         3.85	-7.570156e-04
        3.855	-7.570156e-04
         3.86	-7.570156e-04
        3.865	-7.570156e-04
         3.87	-7.570156e-04
        3.875	-7.570156e-04
         3.88	-7.570156e-04
        3.885	-7.570156e-04
         3.89	-7.570156e-04
        3.895	-7.570156e-04
          3.9	-7.570156e-04
        3.905	-7.570156e-04
         3.91	-7.570156e-04
        3.915	-7.570156e-04
         3.92	-7.570156e-04
        3.925	-7.570156e-04
         3.93	-7.570156e-04
